SITE_TYPE,NAME,SITECODE,DepType,VARIABLE,VALUE,SCORE,LABEL,DATA_SRCE
ASSI,Largalinny,ASSI111,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Largalinny,ASSI111,Woodland,Excess Nitrogen (kg N ha-1 yr-1),9.93563320798205,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Annachullion Lough,ASSI121,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),24.559274679743,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Drumacrittin Lough,ASSI122,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),29.0926781660356,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Caldanagh Bog,ASSI123,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),21.6715744295851,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Cranny Bogs,ASSI124,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.3399234970039,3,High,N Futures (2016 - 2018 baseline)
ASSI,Dead Island Bog,ASSI125,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.703633263778,3,High,N Futures (2016 - 2018 baseline)
ASSI,Frosses Bog,ASSI126,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),26.4382924670914,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Garry Bog Part II,ASSI127,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),14.9574857235834,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,McKean's Moss,ASSI128,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),13.6121442801062,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Tonnagh Beg Bog,ASSI129,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),14.7431338408897,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Tully Bog,ASSI130,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.5245051051972,3,High,N Futures (2016 - 2018 baseline)
ASSI,Wolf Island Bog,ASSI131,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.165200143813,3,High,N Futures (2016 - 2018 baseline)
ASSI,Heron and Carrigullian Loughs,ASSI132,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.44251141740177,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Essan Burn and Mullyfamore,ASSI134,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),4.48875766938527,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Lough Melvin,ASSI140,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
