x,y,z,Dep_typ,variable
145500,649500,7.95380020141602,Low-growing semi-natural vegetation,TotN_dep
146500,649500,7.92418241500855,Low-growing semi-natural vegetation,TotN_dep
147500,649500,7.89456462860107,Low-growing semi-natural vegetation,TotN_dep
148500,649500,7.89193534851074,Low-growing semi-natural vegetation,TotN_dep
149500,649500,7.88930606842041,Low-growing semi-natural vegetation,TotN_dep
150500,649500,7.88667678833008,Low-growing semi-natural vegetation,TotN_dep
151500,649500,7.88404750823975,Low-growing semi-natural vegetation,TotN_dep
157500,649500,7.50829219818115,Low-growing semi-natural vegetation,TotN_dep
158500,649500,7.48185586929321,Low-growing semi-natural vegetation,TotN_dep
159500,649500,7.45542001724243,Low-growing semi-natural vegetation,TotN_dep
160500,649500,7.42898416519165,Low-growing semi-natural vegetation,TotN_dep
161500,649500,7.40254783630371,Low-growing semi-natural vegetation,TotN_dep
162500,649500,7.37611198425293,Low-growing semi-natural vegetation,TotN_dep
163500,649500,7.71445846557617,Low-growing semi-natural vegetation,TotN_dep
164500,649500,8.05280590057373,Low-growing semi-natural vegetation,TotN_dep
165500,649500,8.39115238189697,Low-growing semi-natural vegetation,TotN_dep
166500,649500,8.72949981689453,Low-growing semi-natural vegetation,TotN_dep
167500,649500,9.06784629821777,Low-growing semi-natural vegetation,TotN_dep
168500,649500,9.01264095306396,Low-growing semi-natural vegetation,TotN_dep
169500,649500,8.95743656158447,Low-growing semi-natural vegetation,TotN_dep
170500,649500,8.90223217010498,Low-growing semi-natural vegetation,TotN_dep
171500,649500,8.84702777862549,Low-growing semi-natural vegetation,TotN_dep
172500,649500,8.79182243347168,Low-growing semi-natural vegetation,TotN_dep
173500,649500,8.85763549804688,Low-growing semi-natural vegetation,TotN_dep
174500,649500,8.92344665527344,Low-growing semi-natural vegetation,TotN_dep
175500,649500,8.98925971984863,Low-growing semi-natural vegetation,TotN_dep
176500,649500,9.05507183074951,Low-growing semi-natural vegetation,TotN_dep
177500,649500,9.12088489532471,Low-growing semi-natural vegetation,TotN_dep
178500,649500,9.32380390167236,Low-growing semi-natural vegetation,TotN_dep
179500,649500,9.52672290802002,Low-growing semi-natural vegetation,TotN_dep
180500,649500,9.72964191436768,Low-growing semi-natural vegetation,TotN_dep
181500,649500,9.93256187438965,Low-growing semi-natural vegetation,TotN_dep
182500,649500,10.1354808807373,Low-growing semi-natural vegetation,TotN_dep
183500,649500,10.220440864563,Low-growing semi-natural vegetation,TotN_dep
184500,649500,10.3054008483887,Low-growing semi-natural vegetation,TotN_dep
185500,649500,10.3903617858887,Low-growing semi-natural vegetation,TotN_dep
186500,649500,10.4753217697144,Low-growing semi-natural vegetation,TotN_dep
187500,649500,10.56028175354,Low-growing semi-natural vegetation,TotN_dep
188500,649500,10.5751399993896,Low-growing semi-natural vegetation,TotN_dep
189500,649500,10.5899982452393,Low-growing semi-natural vegetation,TotN_dep
190500,649500,10.6048545837402,Low-growing semi-natural vegetation,TotN_dep
191500,649500,10.6197118759155,Low-growing semi-natural vegetation,TotN_dep
192500,649500,10.6345701217651,Low-growing semi-natural vegetation,TotN_dep
193500,649500,10.6312732696533,Low-growing semi-natural vegetation,TotN_dep
194500,649500,10.6279764175415,Low-growing semi-natural vegetation,TotN_dep
195500,649500,10.6246795654297,Low-growing semi-natural vegetation,TotN_dep
196500,649500,10.6213827133179,Low-growing semi-natural vegetation,TotN_dep
197500,649500,10.6180858612061,Low-growing semi-natural vegetation,TotN_dep
198500,649500,10.3799619674683,Low-growing semi-natural vegetation,TotN_dep
199500,649500,10.1418380737305,Low-growing semi-natural vegetation,TotN_dep
117500,648500,7.31891822814941,Low-growing semi-natural vegetation,TotN_dep
118500,648500,7.5010347366333,Low-growing semi-natural vegetation,TotN_dep
119500,648500,7.68315124511719,Low-growing semi-natural vegetation,TotN_dep
120500,648500,7.86526775360107,Low-growing semi-natural vegetation,TotN_dep
121500,648500,8.04738426208496,Low-growing semi-natural vegetation,TotN_dep
