ID,NAME,Dep_typ,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI026,Cleggan Valley,Low-growing semi-natural vegetation,% total N deposition from NI,67.8204509411846,Major contributions from NI sources,3,Source Attribution 2012
ASSI027,Lough Beg,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,85.3693040029305,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI027,Lough Beg,Low-growing semi-natural vegetation,% total N deposition from Europe,12.1965946755848,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI027,Lough Beg,Low-growing semi-natural vegetation,% total N deposition from NI,77.0915447404827,Major contributions from NI sources,3,Source Attribution 2012
ASSI030,Lough Neagh,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,80.5082900678128,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI030,Lough Neagh,Low-growing semi-natural vegetation,% total N deposition from Europe,15.6930929046717,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI030,Lough Neagh,Low-growing semi-natural vegetation,% total N deposition from NI,73.1335532503581,Major contributions from NI sources,3,Source Attribution 2012
ASSI031,Kiltubbrid Loughs,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,76.0077911239841,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI031,Kiltubbrid Loughs,Low-growing semi-natural vegetation,% total N deposition from Europe,21.8668495314432,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI031,Kiltubbrid Loughs,Low-growing semi-natural vegetation,% total N deposition from NI,70.7597990403705,Major contributions from NI sources,3,Source Attribution 2012
ASSI032,Strangford Lough Part 2,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,75.9937471112998,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI032,Strangford Lough Part 2,Low-growing semi-natural vegetation,% total N deposition from Europe,18.3452193278757,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI032,Strangford Lough Part 2,Low-growing semi-natural vegetation,% total N deposition from NI,65.6323323618337,Major contributions from NI sources,3,Source Attribution 2012
ASSI033,Rathlin Island - Coast,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,30.7922983180274,Substantial contribution from NI Agriculture,2,Source Attribution 2012
ASSI033,Rathlin Island - Coast,Low-growing semi-natural vegetation,% total N deposition from Europe,17.5346383343657,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI033,Rathlin Island - Coast,Low-growing semi-natural vegetation,% total N deposition from NI,61.5488666542067,Major contributions from NI sources,3,Source Attribution 2012
ASSI034,Strangford Lough Part 3,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,76.3354101238473,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI034,Strangford Lough Part 3,Low-growing semi-natural vegetation,% total N deposition from Europe,16.71951030018,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI034,Strangford Lough Part 3,Low-growing semi-natural vegetation,% total N deposition from NI,66.7809610621232,Major contributions from NI sources,3,Source Attribution 2012
ASSI035,Deroran Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,85.0041225793375,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI035,Deroran Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,14.4876365595589,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI035,Deroran Bog,Low-growing semi-natural vegetation,% total N deposition from NI,77.7027097106654,Major contributions from NI sources,3,Source Attribution 2012
ASSI037,Lackan Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,84.5327402844739,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI037,Lackan Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,16.5094851190909,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI037,Lackan Bog,Low-growing semi-natural vegetation,% total N deposition from NI,72.4784310952246,Major contributions from NI sources,3,Source Attribution 2012
ASSI038,Annacramph Meadows,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,76.8690095846645,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI038,Annacramph Meadows,Low-growing semi-natural vegetation,% total N deposition from Europe,14.323108008817,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI038,Annacramph Meadows,Low-growing semi-natural vegetation,% total N deposition from NI,79.1605437178545,Major contributions from NI sources,3,Source Attribution 2012
ASSI039,Loughkeelan,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,81.0348783845801,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI039,Loughkeelan,Low-growing semi-natural vegetation,% total N deposition from Europe,16.7877320419693,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI039,Loughkeelan,Low-growing semi-natural vegetation,% total N deposition from NI,68.4056056937413,Major contributions from NI sources,3,Source Attribution 2012
ASSI043,Rathlin Island - Ballygill North,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,35.3095404102028,Substantial contribution from NI Agriculture,2,Source Attribution 2012
ASSI043,Rathlin Island - Ballygill North,Low-growing semi-natural vegetation,% total N deposition from Europe,18.5708413776678,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI043,Rathlin Island - Ballygill North,Low-growing semi-natural vegetation,% total N deposition from NI,58.978833255737,Major contributions from NI sources,3,Source Attribution 2012
ASSI045,Rathlin Island - Ballycarry,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,37.4232221466724,Substantial contribution from NI Agriculture,2,Source Attribution 2012
